ensembl_gene_id	count
ENSDARG00000103202	0
ENSDARG00000009657	2799
ENSDARG00000096472	1
ENSDARG00000096156	15
ENSDARG00000076160	2
ENSDARG00000117163	40
ENSDARG00000096187	30
ENSDARG00000076014	157
ENSDARG00000098876	3
ENSDARG00000031930	0
ENSDARG00000096435	0
ENSDARG00000103471	32
ENSDARG00000093665	1
ENSDARG00000098144	2
ENSDARG00000093658	802
ENSDARG00000095324	12
ENSDARG00000098510	3
ENSDARG00000021336	0
ENSDARG00000094646	438
ENSDARG00000021595	49
ENSDARG00000096039	1
ENSDARG00000096153	923
ENSDARG00000095200	268
ENSDARG00000096463	0
ENSDARG00000102062	31
ENSDARG00000090116	8
ENSDARG00000102464	75
ENSDARG00000095149	1
ENSDARG00000092714	92
ENSDARG00000112103	1
ENSDARG00000096462	0
ENSDARG00000045801	754
ENSDARG00000096855	0
ENSDARG00000104074	0
ENSDARG00000097754	0
ENSDARG00000095103	0
ENSDARG00000015623	34
ENSDARG00000101202	0
ENSDARG00000102559	3
ENSDARG00000030694	1285
ENSDARG00000093168	1
ENSDARG00000093983	4
ENSDARG00000030598	351
ENSDARG00000092097	0
ENSDARG00000113342	5
ENSDARG00000097811	0
ENSDARG00000116640	1
ENSDARG00000113663	0
ENSDARG00000101775	28
ENSDARG00000112642	0
ENSDARG00000090160	448
ENSDARG00000045758	57
ENSDARG00000096491	1
ENSDARG00000097971	0
ENSDARG00000045760	28
ENSDARG00000096484	0
ENSDARG00000031346	1027
ENSDARG00000024211	10
ENSDARG00000096461	1
ENSDARG00000099327	54
ENSDARG00000017661	507
ENSDARG00000007523	5389
ENSDARG00000045671	1
ENSDARG00000045672	0
ENSDARG00000098115	61
ENSDARG00000091561	11
ENSDARG00000026839	2571
ENSDARG00000088961	2
ENSDARG00000089179	4
ENSDARG00000093424	7
ENSDARG00000101374	42
ENSDARG00000088616	1
ENSDARG00000045544	28
ENSDARG00000115818	0
ENSDARG00000077356	77
ENSDARG00000045673	1
ENSDARG00000097907	49
ENSDARG00000012684	5312
ENSDARG00000093557	21
ENSDARG00000092583	12
ENSDARG00000101849	972
ENSDARG00000091477	4
ENSDARG00000113005	5
ENSDARG00000045675	637
ENSDARG00000096065	6
ENSDARG00000099699	52
ENSDARG00000096481	1
ENSDARG00000001781	24
ENSDARG00000069555	49
ENSDARG00000116546	0
ENSDARG00000016979	1860
ENSDARG00000096114	27
ENSDARG00000099595	0
ENSDARG00000092596	0
ENSDARG00000100479	50
ENSDARG00000103186	150
ENSDARG00000098143	7
ENSDARG00000070477	2869
ENSDARG00000087743	14
ENSDARG00000094888	1
ENSDARG00000117132	5
ENSDARG00000106667	4
ENSDARG00000110946	0
ENSDARG00000045490	1838
ENSDARG00000089860	222
ENSDARG00000101960	3
ENSDARG00000097073	70
ENSDARG00000039843	229
ENSDARG00000093994	0
ENSDARG00000089159	19
ENSDARG00000104064	51
ENSDARG00000096037	26
ENSDARG00000096222	51
ENSDARG00000094034	1
ENSDARG00000014804	150
ENSDARG00000018111	1244
ENSDARG00000096218	2
ENSDARG00000102370	7
ENSDARG00000101916	46
ENSDARG00000096131	4
ENSDARG00000088181	231
ENSDARG00000015931	65
ENSDARG00000094177	10
ENSDARG00000102473	469
ENSDARG00000045850	719
ENSDARG00000110696	0
ENSDARG00000114172	23
ENSDARG00000094545	0
ENSDARG00000103143	48
ENSDARG00000101690	59
ENSDARG00000077220	33
ENSDARG00000103998	3
ENSDARG00000109821	1
ENSDARG00000099475	3
ENSDARG00000104211	9
ENSDARG00000103229	18
ENSDARG00000099561	5
ENSDARG00000098071	6
ENSDARG00000113626	11
ENSDARG00000100061	17
ENSDARG00000101030	1335
ENSDARG00000102316	11
ENSDARG00000077654	20
ENSDARG00000102098	4
ENSDARG00000114894	10
ENSDARG00000102837	0
ENSDARG00000102542	34
ENSDARG00000057983	145
ENSDARG00000098281	61
ENSDARG00000070546	11
ENSDARG00000102357	0
ENSDARG00000045676	582
ENSDARG00000034300	65
ENSDARG00000045522	46
ENSDARG00000020015	1229
ENSDARG00000101675	3190
ENSDARG00000019235	308
ENSDARG00000063097	31
ENSDARG00000045914	9035
ENSDARG00000100311	320
ENSDARG00000105724	1
ENSDARG00000105810	3
ENSDARG00000104208	0
ENSDARG00000102679	59
ENSDARG00000101883	142
ENSDARG00000100294	189
ENSDARG00000045677	13
ENSDARG00000100578	75
ENSDARG00000006747	580
ENSDARG00000104852	44
ENSDARG00000094980	65
ENSDARG00000056938	58
ENSDARG00000100640	0
ENSDARG00000001912	24
ENSDARG00000014572	1368
ENSDARG00000056950	1079
ENSDARG00000104412	1753
ENSDARG00000032639	48
ENSDARG00000100632	881
ENSDARG00000103346	36
ENSDARG00000033296	75
ENSDARG00000045878	4
ENSDARG00000098519	0
ENSDARG00000100164	40
ENSDARG00000056954	831
ENSDARG00000089142	114
ENSDARG00000099626	23
ENSDARG00000045877	4939
ENSDARG00000098406	65
ENSDARG00000077205	454
ENSDARG00000029105	566
ENSDARG00000006283	1084
ENSDARG00000068701	33
ENSDARG00000097967	0
ENSDARG00000110658	2
ENSDARG00000069292	2
ENSDARG00000103441	7
ENSDARG00000101475	0
ENSDARG00000045541	1638
ENSDARG00000045542	2173
ENSDARG00000103675	2
ENSDARG00000045543	348
ENSDARG00000103689	54
ENSDARG00000105173	0
ENSDARG00000068705	1026
ENSDARG00000045680	4384
ENSDARG00000012435	48
ENSDARG00000087438	31
ENSDARG00000097601	137
ENSDARG00000094593	0
ENSDARG00000016886	120
