ensembl_gene_id	count
ENSMUSG00000064842	2
ENSMUSG00000051951	702
ENSMUSG00000102851	2
ENSMUSG00000103377	13
ENSMUSG00000104017	14
ENSMUSG00000103025	6
ENSMUSG00000089699	0
ENSMUSG00000103201	0
ENSMUSG00000103147	4
ENSMUSG00000103161	6
ENSMUSG00000102331	173
ENSMUSG00000102348	0
ENSMUSG00000102592	2
ENSMUSG00000088333	0
ENSMUSG00000102343	2
ENSMUSG00000102948	0
ENSMUSG00000025900	58
ENSMUSG00000104123	0
ENSMUSG00000025902	112
ENSMUSG00000104238	0
ENSMUSG00000102269	0
ENSMUSG00000096126	0
ENSMUSG00000103003	0
ENSMUSG00000104328	13
ENSMUSG00000102735	0
ENSMUSG00000098104	190
ENSMUSG00000102175	6
ENSMUSG00000088000	0
ENSMUSG00000103265	0
ENSMUSG00000103922	389
ENSMUSG00000033845	5399
ENSMUSG00000102275	68
ENSMUSG00000025903	5178
ENSMUSG00000104217	0
ENSMUSG00000033813	6121
ENSMUSG00000062588	198
ENSMUSG00000103280	78
ENSMUSG00000002459	1396
ENSMUSG00000091305	2
ENSMUSG00000102653	9
ENSMUSG00000085623	34
ENSMUSG00000091665	24
ENSMUSG00000033793	13572
ENSMUSG00000104352	0
ENSMUSG00000104046	10
ENSMUSG00000102907	6
ENSMUSG00000025905	4
ENSMUSG00000103936	0
ENSMUSG00000093015	1
ENSMUSG00000103519	6
ENSMUSG00000033774	520
ENSMUSG00000103090	0
ENSMUSG00000025907	5432
ENSMUSG00000090031	343
ENSMUSG00000087247	5
ENSMUSG00000103355	1
ENSMUSG00000102706	5
ENSMUSG00000103845	735
ENSMUSG00000033740	568
ENSMUSG00000103329	10
ENSMUSG00000104385	9
ENSMUSG00000102135	33
ENSMUSG00000103282	0
ENSMUSG00000102534	0
ENSMUSG00000102213	0
ENSMUSG00000103629	0
ENSMUSG00000051285	14673
ENSMUSG00000098201	0
ENSMUSG00000103509	487
ENSMUSG00000048538	83
ENSMUSG00000103709	0
ENSMUSG00000077244	0
ENSMUSG00000102768	0
ENSMUSG00000097797	69
ENSMUSG00000103498	0
ENSMUSG00000103067	67
ENSMUSG00000102320	0
ENSMUSG00000104226	4
ENSMUSG00000103903	10
ENSMUSG00000103557	4
ENSMUSG00000025909	467
ENSMUSG00000102647	2
ENSMUSG00000086235	0
ENSMUSG00000102253	3
ENSMUSG00000093970	0
ENSMUSG00000103884	8
ENSMUSG00000084353	103
ENSMUSG00000103933	5
ENSMUSG00000076135	15
ENSMUSG00000086195	0
ENSMUSG00000104504	0
ENSMUSG00000066693	0
ENSMUSG00000102316	21
ENSMUSG00000103819	0
ENSMUSG00000102871	4
ENSMUSG00000101571	1
ENSMUSG00000104428	0
ENSMUSG00000102272	0
ENSMUSG00000065625	0
ENSMUSG00000103411	3
ENSMUSG00000061024	6938
ENSMUSG00000025911	921
ENSMUSG00000079671	81
ENSMUSG00000081441	11
ENSMUSG00000067879	80
ENSMUSG00000099827	5
ENSMUSG00000025912	561
ENSMUSG00000045210	6196
ENSMUSG00000097893	243
ENSMUSG00000025915	7591
ENSMUSG00000046334	150
ENSMUSG00000088916	1
ENSMUSG00000046101	93
ENSMUSG00000098234	1486
ENSMUSG00000093178	33
ENSMUSG00000099032	288
ENSMUSG00000104025	6
ENSMUSG00000025916	36
ENSMUSG00000087199	0
ENSMUSG00000095780	1
ENSMUSG00000025917	9347
ENSMUSG00000056763	4313
ENSMUSG00000102356	0
ENSMUSG00000102638	99
ENSMUSG00000067851	15883
ENSMUSG00000088153	11
ENSMUSG00000102556	1
ENSMUSG00000042501	16
ENSMUSG00000103810	7
ENSMUSG00000083422	0
ENSMUSG00000094979	0
ENSMUSG00000081417	0
ENSMUSG00000103448	10
ENSMUSG00000100212	0
ENSMUSG00000100648	19
ENSMUSG00000088585	0
ENSMUSG00000048960	491
ENSMUSG00000077318	2
ENSMUSG00000101827	0
ENSMUSG00000103494	9
ENSMUSG00000057715	1009
ENSMUSG00000103825	5
ENSMUSG00000099845	6
ENSMUSG00000103561	8
ENSMUSG00000101610	12
ENSMUSG00000093864	0
ENSMUSG00000098555	4
ENSMUSG00000097628	18
ENSMUSG00000098163	0
ENSMUSG00000097171	3
ENSMUSG00000101314	2
ENSMUSG00000016918	34085
ENSMUSG00000025938	12086
ENSMUSG00000104518	0
ENSMUSG00000069620	8
ENSMUSG00000099498	4
ENSMUSG00000042414	304
ENSMUSG00000005886	12378
ENSMUSG00000103506	32
ENSMUSG00000103495	2
ENSMUSG00000099183	0
ENSMUSG00000102639	0
ENSMUSG00000104170	4
ENSMUSG00000087782	0
ENSMUSG00000103085	65
ENSMUSG00000102664	39
ENSMUSG00000101476	4
ENSMUSG00000101171	0
ENSMUSG00000025935	11565
ENSMUSG00000025937	2631
ENSMUSG00000102982	29
ENSMUSG00000067813	212
ENSMUSG00000077368	0
ENSMUSG00000097711	22
ENSMUSG00000102166	1465
ENSMUSG00000089358	0
ENSMUSG00000104209	10
ENSMUSG00000025932	19429
ENSMUSG00000095853	30
ENSMUSG00000102588	99
ENSMUSG00000054493	361
ENSMUSG00000025930	16157
ENSMUSG00000103492	49
ENSMUSG00000081201	31
ENSMUSG00000082193	59
ENSMUSG00000032769	313
ENSMUSG00000088159	0
ENSMUSG00000073737	20
ENSMUSG00000092083	711
ENSMUSG00000102937	12
ENSMUSG00000104149	8
ENSMUSG00000088829	0
ENSMUSG00000077377	0
ENSMUSG00000101652	0
ENSMUSG00000100814	0
ENSMUSG00000025925	1983
ENSMUSG00000104379	5
ENSMUSG00000032719	23
ENSMUSG00000088943	0
ENSMUSG00000100652	4
ENSMUSG00000067795	70
ENSMUSG00000043716	98379
ENSMUSG00000025921	14103
ENSMUSG00000104165	2
ENSMUSG00000100868	9
ENSMUSG00000025920	6174
ENSMUSG00000089982	10
ENSMUSG00000025939	6302
ENSMUSG00000102457	58
ENSMUSG00000079658	10888
ENSMUSG00000097744	62
ENSMUSG00000100959	31
ENSMUSG00000025940	7145
ENSMUSG00000025779	633
ENSMUSG00000100093	10
ENSMUSG00000091020	12
ENSMUSG00000101640	0
ENSMUSG00000104133	0
ENSMUSG00000042686	11455
ENSMUSG00000100110	8
ENSMUSG00000025777	440
ENSMUSG00000099899	6
ENSMUSG00000100272	0
ENSMUSG00000100398	15
ENSMUSG00000101589	162
ENSMUSG00000102048	4
ENSMUSG00000089534	0
ENSMUSG00000067780	27
ENSMUSG00000100053	5
ENSMUSG00000085125	7
ENSMUSG00000025776	146
ENSMUSG00000099895	2
ENSMUSG00000100554	0
ENSMUSG00000099473	2
ENSMUSG00000099591	12
ENSMUSG00000102001	0
ENSMUSG00000101717	2
ENSMUSG00000025774	1
ENSMUSG00000070977	1
ENSMUSG00000073735	0
ENSMUSG00000067773	0
ENSMUSG00000101685	0
ENSMUSG00000101738	2
ENSMUSG00000101306	0
ENSMUSG00000088800	0
ENSMUSG00000101644	0
ENSMUSG00000099433	0
ENSMUSG00000089787	6
ENSMUSG00000042596	72
ENSMUSG00000100720	34
ENSMUSG00000025927	5385
ENSMUSG00000100538	0
ENSMUSG00000101117	0
ENSMUSG00000100204	56
ENSMUSG00000084668	0
ENSMUSG00000102597	0
ENSMUSG00000077860	0
ENSMUSG00000043760	276
ENSMUSG00000104095	4
ENSMUSG00000089914	1
ENSMUSG00000090142	8
ENSMUSG00000070175	0
ENSMUSG00000065559	0
ENSMUSG00000099906	50
ENSMUSG00000065480	0
ENSMUSG00000025929	30
ENSMUSG00000041872	79
ENSMUSG00000041859	5245
ENSMUSG00000099714	0
ENSMUSG00000102121	2
ENSMUSG00000088858	0
ENSMUSG00000097934	14
ENSMUSG00000025931	2965
ENSMUSG00000077314	0
ENSMUSG00000100929	2
ENSMUSG00000041809	1015
ENSMUSG00000041779	1837
ENSMUSG00000099971	17
ENSMUSG00000100819	7
ENSMUSG00000025933	1575
ENSMUSG00000102633	0
ENSMUSG00000025934	852
ENSMUSG00000099343	7
ENSMUSG00000096375	8
ENSMUSG00000025936	9
ENSMUSG00000093963	0
ENSMUSG00000067750	40
ENSMUSG00000086194	0
ENSMUSG00000094436	0
ENSMUSG00000041722	30
ENSMUSG00000085507	0
ENSMUSG00000094926	2
ENSMUSG00000085079	158
ENSMUSG00000085679	7
ENSMUSG00000028033	134
ENSMUSG00000104138	0
ENSMUSG00000082935	1637
ENSMUSG00000103748	4
ENSMUSG00000097109	10
ENSMUSG00000099692	0
ENSMUSG00000100418	3
ENSMUSG00000041670	211
ENSMUSG00000097642	4
ENSMUSG00000101468	8
ENSMUSG00000101227	0
ENSMUSG00000073730	14
ENSMUSG00000089553	6
ENSMUSG00000102766	10
ENSMUSG00000065405	0
ENSMUSG00000097970	41
ENSMUSG00000065567	0
ENSMUSG00000100775	58
ENSMUSG00000101226	6
ENSMUSG00000026158	19555
ENSMUSG00000097920	14
ENSMUSG00000099503	3
ENSMUSG00000026156	403
ENSMUSG00000026155	6576
ENSMUSG00000026154	2073
ENSMUSG00000102495	2
ENSMUSG00000026153	4053
ENSMUSG00000102398	28
ENSMUSG00000097670	0
ENSMUSG00000026147	1034
ENSMUSG00000026141	2712
ENSMUSG00000077463	1
ENSMUSG00000099997	66
ENSMUSG00000100131	404
ENSMUSG00000067736	189
ENSMUSG00000101939	225
ENSMUSG00000101111	1214
ENSMUSG00000100862	1371
ENSMUSG00000102070	773
ENSMUSG00000101249	929
ENSMUSG00000073725	9782
ENSMUSG00000100808	4
ENSMUSG00000100483	5
ENSMUSG00000100450	2
ENSMUSG00000099392	6
ENSMUSG00000033569	208
ENSMUSG00000080849	2
ENSMUSG00000104257	2
ENSMUSG00000096866	0
ENSMUSG00000102296	0
ENSMUSG00000103209	0
ENSMUSG00000104027	18
ENSMUSG00000102407	2
ENSMUSG00000103214	3
ENSMUSG00000104100	2
ENSMUSG00000084740	0
ENSMUSG00000103889	8
ENSMUSG00000101301	2
ENSMUSG00000104221	2
ENSMUSG00000102250	6
ENSMUSG00000102317	0
ENSMUSG00000103563	0
ENSMUSG00000102465	5
ENSMUSG00000102659	2
ENSMUSG00000103924	8
ENSMUSG00000104132	0
ENSMUSG00000102747	29
ENSMUSG00000102386	10
ENSMUSG00000103004	0
ENSMUSG00000104516	4
ENSMUSG00000101618	0
ENSMUSG00000099458	0
ENSMUSG00000101524	1
ENSMUSG00000088111	2
ENSMUSG00000073722	210
ENSMUSG00000095256	0
ENSMUSG00000100310	0
ENSMUSG00000101514	5
ENSMUSG00000101033	0
ENSMUSG00000101372	6
ENSMUSG00000103241	1
ENSMUSG00000086240	281
ENSMUSG00000048411	0
ENSMUSG00000081557	4
ENSMUSG00000058590	0
