ensembl_gene_id	count
ENSMUSG00000064842	0
ENSMUSG00000051951	400
ENSMUSG00000102851	2
ENSMUSG00000103377	26
ENSMUSG00000104017	8
ENSMUSG00000103025	12
ENSMUSG00000089699	0
ENSMUSG00000103201	10
ENSMUSG00000103147	0
ENSMUSG00000103161	4
ENSMUSG00000102331	159
ENSMUSG00000102348	6
ENSMUSG00000102592	17
ENSMUSG00000088333	0
ENSMUSG00000102343	0
ENSMUSG00000102948	3
ENSMUSG00000025900	69
ENSMUSG00000104123	3
ENSMUSG00000025902	32
ENSMUSG00000104238	0
ENSMUSG00000102269	32
ENSMUSG00000096126	0
ENSMUSG00000103003	0
ENSMUSG00000104328	8
ENSMUSG00000102735	2
ENSMUSG00000098104	164
ENSMUSG00000102175	4
ENSMUSG00000088000	0
ENSMUSG00000103265	4
ENSMUSG00000103922	218
ENSMUSG00000033845	5459
ENSMUSG00000102275	34
ENSMUSG00000025903	3017
ENSMUSG00000104217	0
ENSMUSG00000033813	3109
ENSMUSG00000062588	47
ENSMUSG00000103280	15
ENSMUSG00000002459	1049
ENSMUSG00000091305	13
ENSMUSG00000102653	22
ENSMUSG00000085623	12
ENSMUSG00000091665	4
ENSMUSG00000033793	10101
ENSMUSG00000104352	1
ENSMUSG00000104046	10
ENSMUSG00000102907	8
ENSMUSG00000025905	12
ENSMUSG00000103936	0
ENSMUSG00000093015	0
ENSMUSG00000103519	6
ENSMUSG00000033774	146
ENSMUSG00000103090	0
ENSMUSG00000025907	2194
ENSMUSG00000090031	71
ENSMUSG00000087247	3
ENSMUSG00000103355	1
ENSMUSG00000102706	3
ENSMUSG00000103845	109
ENSMUSG00000033740	417
ENSMUSG00000103329	16
ENSMUSG00000104385	6
ENSMUSG00000102135	54
ENSMUSG00000103282	0
ENSMUSG00000102534	0
ENSMUSG00000102213	0
ENSMUSG00000103629	0
ENSMUSG00000051285	3707
ENSMUSG00000098201	0
ENSMUSG00000103509	29
ENSMUSG00000048538	42
ENSMUSG00000103709	3
ENSMUSG00000077244	0
ENSMUSG00000102768	0
ENSMUSG00000097797	45
ENSMUSG00000103498	0
ENSMUSG00000103067	84
ENSMUSG00000102320	2
ENSMUSG00000104226	6
ENSMUSG00000103903	0
ENSMUSG00000103557	4
ENSMUSG00000025909	99
ENSMUSG00000102647	8
ENSMUSG00000086235	0
ENSMUSG00000102253	4
ENSMUSG00000093970	1
ENSMUSG00000103884	0
ENSMUSG00000084353	134
ENSMUSG00000103933	6
ENSMUSG00000076135	5
ENSMUSG00000086195	0
ENSMUSG00000104504	0
ENSMUSG00000066693	4
ENSMUSG00000102316	26
ENSMUSG00000103819	0
ENSMUSG00000102871	24
ENSMUSG00000101571	5
ENSMUSG00000104428	8
ENSMUSG00000102272	12
ENSMUSG00000065625	0
ENSMUSG00000103411	4
ENSMUSG00000061024	4266
ENSMUSG00000025911	1087
ENSMUSG00000079671	125
ENSMUSG00000081441	10
ENSMUSG00000067879	92
ENSMUSG00000099827	18
ENSMUSG00000025912	276
ENSMUSG00000045210	2046
ENSMUSG00000097893	296
ENSMUSG00000025915	5075
ENSMUSG00000046334	142
ENSMUSG00000088916	1
ENSMUSG00000046101	48
ENSMUSG00000098234	1960
ENSMUSG00000093178	6
ENSMUSG00000099032	243
ENSMUSG00000104025	12
ENSMUSG00000025916	81
ENSMUSG00000087199	5
ENSMUSG00000095780	1
ENSMUSG00000025917	12356
ENSMUSG00000056763	1917
ENSMUSG00000102356	4
ENSMUSG00000102638	98
ENSMUSG00000067851	4055
ENSMUSG00000088153	15
ENSMUSG00000102556	10
ENSMUSG00000042501	62
ENSMUSG00000103810	6
ENSMUSG00000083422	9
ENSMUSG00000094979	0
ENSMUSG00000081417	1
ENSMUSG00000103448	29
ENSMUSG00000100212	0
ENSMUSG00000100648	25
ENSMUSG00000088585	0
ENSMUSG00000048960	137
ENSMUSG00000077318	0
ENSMUSG00000101827	4
ENSMUSG00000103494	10
ENSMUSG00000057715	331
ENSMUSG00000103825	10
ENSMUSG00000099845	0
ENSMUSG00000103561	8
ENSMUSG00000101610	0
ENSMUSG00000093864	0
ENSMUSG00000098555	0
ENSMUSG00000097628	25
ENSMUSG00000098163	2
ENSMUSG00000097171	3
ENSMUSG00000101314	5
ENSMUSG00000016918	4853
ENSMUSG00000025938	2912
ENSMUSG00000104518	0
ENSMUSG00000069620	10
ENSMUSG00000099498	10
ENSMUSG00000042414	328
ENSMUSG00000005886	2782
ENSMUSG00000103506	6
ENSMUSG00000103495	4
ENSMUSG00000099183	0
ENSMUSG00000102639	4
ENSMUSG00000104170	16
ENSMUSG00000087782	0
ENSMUSG00000103085	64
ENSMUSG00000102664	27
ENSMUSG00000101476	2
ENSMUSG00000101171	10
ENSMUSG00000025935	5016
ENSMUSG00000025937	1787
ENSMUSG00000102982	21
ENSMUSG00000067813	350
ENSMUSG00000077368	0
ENSMUSG00000097711	36
ENSMUSG00000102166	1018
ENSMUSG00000089358	0
ENSMUSG00000104209	12
ENSMUSG00000025932	4893
ENSMUSG00000095853	9
ENSMUSG00000102588	144
ENSMUSG00000054493	242
ENSMUSG00000025930	7285
ENSMUSG00000103492	6
ENSMUSG00000081201	17
ENSMUSG00000082193	64
ENSMUSG00000032769	361
ENSMUSG00000088159	0
ENSMUSG00000073737	26
ENSMUSG00000092083	213
ENSMUSG00000102937	20
ENSMUSG00000104149	4
