ensembl_gene_id	count
ENSMUSG00000102693	0
ENSMUSG00000064842	0
ENSMUSG00000051951	40
ENSMUSG00000102851	0
ENSMUSG00000103377	4
ENSMUSG00000104017	0
ENSMUSG00000103025	13
ENSMUSG00000089699	0
ENSMUSG00000103201	1
ENSMUSG00000103147	0
ENSMUSG00000103161	3
ENSMUSG00000102331	46
ENSMUSG00000102348	0
ENSMUSG00000102592	0
ENSMUSG00000088333	0
ENSMUSG00000102343	0
ENSMUSG00000102948	0
ENSMUSG00000025900	3
ENSMUSG00000104123	0
ENSMUSG00000025902	66
ENSMUSG00000104238	0
ENSMUSG00000102269	1
ENSMUSG00000096126	0
ENSMUSG00000103003	0
ENSMUSG00000104328	0
ENSMUSG00000102735	0
ENSMUSG00000098104	81
ENSMUSG00000102175	0
ENSMUSG00000088000	0
ENSMUSG00000103265	0
ENSMUSG00000103922	6
ENSMUSG00000033845	1439
ENSMUSG00000102275	1
ENSMUSG00000025903	1504
ENSMUSG00000104217	0
ENSMUSG00000033813	1030
ENSMUSG00000062588	35
ENSMUSG00000103280	9
ENSMUSG00000002459	226
ENSMUSG00000091305	0
ENSMUSG00000102653	6
ENSMUSG00000085623	3
ENSMUSG00000091665	0
ENSMUSG00000033793	2824
ENSMUSG00000104352	0
ENSMUSG00000104046	0
ENSMUSG00000102907	0
ENSMUSG00000025905	2
ENSMUSG00000103936	0
ENSMUSG00000093015	0
ENSMUSG00000103519	0
ENSMUSG00000033774	46
ENSMUSG00000103090	0
ENSMUSG00000025907	690
ENSMUSG00000090031	88
ENSMUSG00000087247	0
ENSMUSG00000103355	2
ENSMUSG00000102706	1
ENSMUSG00000103845	3
ENSMUSG00000033740	106
ENSMUSG00000103329	1
ENSMUSG00000104385	0
ENSMUSG00000102135	2
ENSMUSG00000103282	0
ENSMUSG00000102534	0
ENSMUSG00000102213	0
ENSMUSG00000103629	0
ENSMUSG00000051285	1253
ENSMUSG00000098201	0
ENSMUSG00000103509	7
ENSMUSG00000048538	3
ENSMUSG00000103709	0
ENSMUSG00000077244	0
ENSMUSG00000102768	0
ENSMUSG00000097797	30
ENSMUSG00000103498	0
ENSMUSG00000103067	47
ENSMUSG00000102320	0
ENSMUSG00000104226	0
ENSMUSG00000103903	0
ENSMUSG00000103557	0
ENSMUSG00000025909	29
ENSMUSG00000102647	0
ENSMUSG00000086235	0
ENSMUSG00000102253	0
ENSMUSG00000093970	0
ENSMUSG00000103884	0
ENSMUSG00000084353	9
ENSMUSG00000103933	0
ENSMUSG00000076135	0
ENSMUSG00000086195	0
ENSMUSG00000104504	0
ENSMUSG00000066693	1
ENSMUSG00000102316	2
ENSMUSG00000103819	0
ENSMUSG00000102871	0
ENSMUSG00000101571	0
ENSMUSG00000104428	0
ENSMUSG00000102272	0
ENSMUSG00000065625	0
ENSMUSG00000103411	0
ENSMUSG00000061024	1517
ENSMUSG00000025911	347
ENSMUSG00000079671	118
ENSMUSG00000081441	4
ENSMUSG00000067879	25
ENSMUSG00000099827	0
ENSMUSG00000025912	7
ENSMUSG00000045210	712
ENSMUSG00000097893	284
ENSMUSG00000025915	659
ENSMUSG00000046334	32
ENSMUSG00000088916	0
ENSMUSG00000046101	44
ENSMUSG00000098234	240
ENSMUSG00000093178	1
ENSMUSG00000099032	13
ENSMUSG00000104025	0
ENSMUSG00000025916	25
ENSMUSG00000087199	0
ENSMUSG00000095780	0
ENSMUSG00000025917	1776
ENSMUSG00000056763	381
ENSMUSG00000102356	3
ENSMUSG00000102638	13
ENSMUSG00000067851	398
ENSMUSG00000088153	0
ENSMUSG00000102556	10
ENSMUSG00000042501	10
ENSMUSG00000103810	0
ENSMUSG00000083422	0
ENSMUSG00000094979	0
ENSMUSG00000081417	0
ENSMUSG00000103448	1
ENSMUSG00000100212	0
ENSMUSG00000100648	6
ENSMUSG00000088585	0
ENSMUSG00000048960	41
ENSMUSG00000077318	0
ENSMUSG00000101827	7
ENSMUSG00000103494	0
ENSMUSG00000057715	136
ENSMUSG00000103825	7
ENSMUSG00000099845	0
ENSMUSG00000103561	0
ENSMUSG00000101610	2
ENSMUSG00000093864	0
ENSMUSG00000098555	0
ENSMUSG00000097628	0
ENSMUSG00000098163	0
ENSMUSG00000097171	1
ENSMUSG00000101314	0
ENSMUSG00000016918	1835
ENSMUSG00000025938	1529
ENSMUSG00000104518	0
ENSMUSG00000069620	7
ENSMUSG00000099498	0
ENSMUSG00000042414	40
ENSMUSG00000005886	800
ENSMUSG00000103506	14
ENSMUSG00000103495	9
ENSMUSG00000099183	0
ENSMUSG00000102639	3
ENSMUSG00000104170	9
ENSMUSG00000087782	0
ENSMUSG00000103085	27
ENSMUSG00000102664	30
ENSMUSG00000101476	2
ENSMUSG00000101171	1
ENSMUSG00000025935	5806
ENSMUSG00000025937	535
ENSMUSG00000102982	20
ENSMUSG00000067813	102
ENSMUSG00000077368	0
ENSMUSG00000097711	11
ENSMUSG00000102166	191
ENSMUSG00000089358	0
ENSMUSG00000104209	0
ENSMUSG00000025932	937
ENSMUSG00000095853	4
ENSMUSG00000102588	6
ENSMUSG00000054493	2048
ENSMUSG00000025930	6127
ENSMUSG00000103492	0
ENSMUSG00000081201	4
ENSMUSG00000082193	1
ENSMUSG00000032769	1
ENSMUSG00000088159	0
ENSMUSG00000073737	0
ENSMUSG00000092083	56
ENSMUSG00000102937	0
ENSMUSG00000104149	0
ENSMUSG00000088829	0
ENSMUSG00000077377	0
ENSMUSG00000101652	0
ENSMUSG00000100814	0
ENSMUSG00000025925	412
ENSMUSG00000104379	0
ENSMUSG00000032719	0
ENSMUSG00000088943	0
ENSMUSG00000100652	1
ENSMUSG00000067795	14
ENSMUSG00000043716	8013
ENSMUSG00000025921	1315
ENSMUSG00000104165	1
ENSMUSG00000100868	1
ENSMUSG00000025920	730
ENSMUSG00000089982	0
ENSMUSG00000025939	1301
ENSMUSG00000102457	34
ENSMUSG00000079658	2516
ENSMUSG00000097744	40
ENSMUSG00000100959	22
ENSMUSG00000025940	2733
ENSMUSG00000025779	300
ENSMUSG00000100093	0
ENSMUSG00000091020	2
ENSMUSG00000101640	20
ENSMUSG00000104133	1
ENSMUSG00000042686	238
ENSMUSG00000100110	0
ENSMUSG00000025777	66
ENSMUSG00000099899	0
