ensembl_gene_id	count
ENSMUSG00000102693	1
ENSMUSG00000064842	0
ENSMUSG00000051951	32
ENSMUSG00000102851	0
ENSMUSG00000103377	8
ENSMUSG00000104017	33
ENSMUSG00000103025	46
ENSMUSG00000089699	6
ENSMUSG00000103201	6
ENSMUSG00000103147	0
ENSMUSG00000103161	6
ENSMUSG00000102331	61
ENSMUSG00000102348	0
ENSMUSG00000102592	2
ENSMUSG00000088333	0
ENSMUSG00000102343	15
ENSMUSG00000102948	3
ENSMUSG00000025900	22
ENSMUSG00000104123	2
ENSMUSG00000025902	64
ENSMUSG00000104238	4
ENSMUSG00000102269	2
ENSMUSG00000096126	1
ENSMUSG00000103003	2
ENSMUSG00000104328	7
ENSMUSG00000102735	0
ENSMUSG00000098104	293
ENSMUSG00000102175	1
ENSMUSG00000088000	0
ENSMUSG00000103265	1
ENSMUSG00000103922	14
ENSMUSG00000033845	1980
ENSMUSG00000102275	2
ENSMUSG00000025903	2162
ENSMUSG00000104217	0
ENSMUSG00000033813	2194
ENSMUSG00000062588	75
ENSMUSG00000103280	11
ENSMUSG00000002459	196
ENSMUSG00000091305	0
ENSMUSG00000102653	22
ENSMUSG00000085623	1
ENSMUSG00000091665	0
ENSMUSG00000033793	4085
ENSMUSG00000104352	0
ENSMUSG00000104046	1
ENSMUSG00000102907	4
ENSMUSG00000025905	12
ENSMUSG00000103936	0
ENSMUSG00000093015	1
ENSMUSG00000103519	1
ENSMUSG00000033774	169
ENSMUSG00000103090	0
ENSMUSG00000025907	2001
ENSMUSG00000090031	219
ENSMUSG00000087247	2
ENSMUSG00000103355	2
ENSMUSG00000102706	2
ENSMUSG00000103845	97
ENSMUSG00000033740	175
ENSMUSG00000103329	9
ENSMUSG00000104385	0
ENSMUSG00000102135	23
ENSMUSG00000103282	0
ENSMUSG00000102534	0
ENSMUSG00000102213	0
ENSMUSG00000103629	0
ENSMUSG00000051285	1972
ENSMUSG00000098201	1
ENSMUSG00000103509	10
ENSMUSG00000048538	13
ENSMUSG00000103709	0
ENSMUSG00000077244	0
ENSMUSG00000102768	2
ENSMUSG00000097797	21
ENSMUSG00000103498	4
ENSMUSG00000103067	8
ENSMUSG00000102320	0
ENSMUSG00000104226	5
ENSMUSG00000103903	1
ENSMUSG00000103557	2
ENSMUSG00000025909	60
