ensembl_gene_id	count
ENSMUSG00000102693	12
ENSMUSG00000064842	3
ENSMUSG00000051951	177
ENSMUSG00000102851	21
ENSMUSG00000103377	87
ENSMUSG00000104017	46
ENSMUSG00000103025	40
ENSMUSG00000089699	15
ENSMUSG00000103201	30
ENSMUSG00000103147	18
ENSMUSG00000103161	50
ENSMUSG00000102331	79
ENSMUSG00000102348	18
ENSMUSG00000102592	16
ENSMUSG00000088333	0
ENSMUSG00000102343	22
ENSMUSG00000102948	19
ENSMUSG00000025900	121
ENSMUSG00000104123	31
ENSMUSG00000025902	30
ENSMUSG00000104238	30
ENSMUSG00000102269	118
ENSMUSG00000096126	17
ENSMUSG00000103003	7
ENSMUSG00000104328	46
ENSMUSG00000102735	45
ENSMUSG00000098104	15
ENSMUSG00000102175	21
ENSMUSG00000088000	4
ENSMUSG00000103265	32
ENSMUSG00000103922	18
ENSMUSG00000033845	221
ENSMUSG00000102275	16
ENSMUSG00000025903	303
ENSMUSG00000104217	0
ENSMUSG00000033813	223
ENSMUSG00000062588	12
ENSMUSG00000103280	32
ENSMUSG00000002459	92
ENSMUSG00000091305	13
ENSMUSG00000102653	58
ENSMUSG00000085623	89
ENSMUSG00000091665	15
ENSMUSG00000033793	456
ENSMUSG00000104352	43
ENSMUSG00000104046	31
ENSMUSG00000102907	32
ENSMUSG00000025905	84
ENSMUSG00000103936	11
ENSMUSG00000093015	18
ENSMUSG00000103519	45
ENSMUSG00000033774	43
ENSMUSG00000103090	14
ENSMUSG00000025907	531
ENSMUSG00000090031	88
ENSMUSG00000087247	12
ENSMUSG00000103355	4
ENSMUSG00000102706	1
ENSMUSG00000103845	67
ENSMUSG00000033740	278
ENSMUSG00000103329	61
ENSMUSG00000104385	14
ENSMUSG00000102135	5
ENSMUSG00000103282	2
ENSMUSG00000102534	17
ENSMUSG00000102213	4
ENSMUSG00000103629	8
ENSMUSG00000051285	497
ENSMUSG00000098201	14
ENSMUSG00000103509	175
ENSMUSG00000048538	10
ENSMUSG00000103709	11
ENSMUSG00000077244	2
ENSMUSG00000102768	16
ENSMUSG00000097797	93
ENSMUSG00000103498	16
ENSMUSG00000103067	46
ENSMUSG00000102320	3
ENSMUSG00000104226	35
ENSMUSG00000103903	13
ENSMUSG00000103557	4
ENSMUSG00000025909	184
ENSMUSG00000102647	18
ENSMUSG00000086235	15
ENSMUSG00000102253	60
ENSMUSG00000093970	4
ENSMUSG00000103884	3
ENSMUSG00000084353	3
ENSMUSG00000103933	2
ENSMUSG00000076135	0
ENSMUSG00000086195	1
ENSMUSG00000104504	4
ENSMUSG00000066693	27
ENSMUSG00000102316	30
ENSMUSG00000103819	7
ENSMUSG00000102871	36
ENSMUSG00000101571	33
ENSMUSG00000104428	15
ENSMUSG00000102272	29
ENSMUSG00000065625	5
ENSMUSG00000103411	27
ENSMUSG00000061024	95
ENSMUSG00000025911	164
ENSMUSG00000079671	145
ENSMUSG00000081441	17
ENSMUSG00000067879	124
ENSMUSG00000099827	60
ENSMUSG00000025912	109
ENSMUSG00000045210	309
ENSMUSG00000097893	94
ENSMUSG00000025915	458
ENSMUSG00000046334	9
ENSMUSG00000088916	6
ENSMUSG00000046101	132
ENSMUSG00000098234	39
ENSMUSG00000093178	0
ENSMUSG00000099032	53
ENSMUSG00000104025	15
ENSMUSG00000025916	56
ENSMUSG00000087199	35
ENSMUSG00000095780	6
ENSMUSG00000025917	310
ENSMUSG00000056763	737
ENSMUSG00000102356	14
ENSMUSG00000102638	32
ENSMUSG00000067851	974
ENSMUSG00000088153	22
ENSMUSG00000102556	9
ENSMUSG00000042501	194
ENSMUSG00000103810	58
ENSMUSG00000083422	22
ENSMUSG00000094979	0
ENSMUSG00000081417	2
ENSMUSG00000103448	27
ENSMUSG00000100212	12
ENSMUSG00000100648	11
ENSMUSG00000088585	5
ENSMUSG00000048960	301
ENSMUSG00000077318	0
ENSMUSG00000101827	28
ENSMUSG00000103494	71
ENSMUSG00000057715	191
ENSMUSG00000103825	26
ENSMUSG00000099845	20
ENSMUSG00000103561	22
ENSMUSG00000101610	26
ENSMUSG00000093864	0
ENSMUSG00000098555	2
ENSMUSG00000097628	79
ENSMUSG00000098163	12
ENSMUSG00000097171	29
ENSMUSG00000101314	9
ENSMUSG00000016918	924
ENSMUSG00000025938	855
ENSMUSG00000104518	17
ENSMUSG00000069620	18
ENSMUSG00000099498	40
ENSMUSG00000042414	109
ENSMUSG00000005886	1050
ENSMUSG00000103506	44
ENSMUSG00000103495	80
ENSMUSG00000099183	1
ENSMUSG00000102639	16
ENSMUSG00000104170	33
ENSMUSG00000087782	3
ENSMUSG00000103085	106
ENSMUSG00000102664	77
ENSMUSG00000101476	8
ENSMUSG00000101171	33
ENSMUSG00000025935	334
ENSMUSG00000025937	121
ENSMUSG00000102982	54
ENSMUSG00000067813	48
ENSMUSG00000077368	2
ENSMUSG00000097711	35
ENSMUSG00000102166	100
ENSMUSG00000089358	10
ENSMUSG00000104209	56
ENSMUSG00000025932	949
ENSMUSG00000095853	5
ENSMUSG00000102588	21
ENSMUSG00000054493	186
ENSMUSG00000025930	311
ENSMUSG00000103492	76
ENSMUSG00000081201	5
ENSMUSG00000082193	10
ENSMUSG00000032769	176
ENSMUSG00000088159	2
ENSMUSG00000073737	21
ENSMUSG00000092083	309
ENSMUSG00000102937	42
ENSMUSG00000104149	28
ENSMUSG00000088829	1
ENSMUSG00000077377	2
ENSMUSG00000101652	8
ENSMUSG00000100814	1
ENSMUSG00000025925	133
ENSMUSG00000104379	75
ENSMUSG00000032719	68
ENSMUSG00000088943	9
ENSMUSG00000100652	6
ENSMUSG00000067795	58
ENSMUSG00000043716	2625
ENSMUSG00000025921	312
ENSMUSG00000104165	37
ENSMUSG00000100868	97
ENSMUSG00000025920	449
ENSMUSG00000089982	34
ENSMUSG00000025939	261
ENSMUSG00000102457	43
ENSMUSG00000079658	256
ENSMUSG00000097744	27
ENSMUSG00000100959	2
ENSMUSG00000025940	165
ENSMUSG00000025779	29
ENSMUSG00000100093	48
ENSMUSG00000091020	79
ENSMUSG00000101640	27
ENSMUSG00000104133	6
ENSMUSG00000042686	564
ENSMUSG00000100110	41
ENSMUSG00000025777	175
ENSMUSG00000099899	31
ENSMUSG00000100272	11
ENSMUSG00000100398	11
ENSMUSG00000101589	76
ENSMUSG00000102048	21
ENSMUSG00000089534	5
ENSMUSG00000067780	84
ENSMUSG00000100053	60
ENSMUSG00000085125	83
ENSMUSG00000025776	59
ENSMUSG00000099895	13
ENSMUSG00000100554	15
ENSMUSG00000099473	11
ENSMUSG00000099591	26
ENSMUSG00000102001	4
ENSMUSG00000101717	8
ENSMUSG00000025774	59
ENSMUSG00000070977	4
ENSMUSG00000073735	5
ENSMUSG00000067773	14
ENSMUSG00000101685	21
ENSMUSG00000101738	4
ENSMUSG00000101306	20
ENSMUSG00000088800	4
