ensembl_gene_id	count
ENSMUSG00000102693	0
ENSMUSG00000064842	0
ENSMUSG00000051951	29
ENSMUSG00000102851	0
ENSMUSG00000103377	1
ENSMUSG00000104017	15
ENSMUSG00000103025	12
ENSMUSG00000089699	2
ENSMUSG00000103201	0
ENSMUSG00000103147	0
ENSMUSG00000103161	4
ENSMUSG00000102331	15
ENSMUSG00000102348	1
ENSMUSG00000102592	1
ENSMUSG00000088333	0
ENSMUSG00000102343	0
ENSMUSG00000102948	1
ENSMUSG00000025900	33
ENSMUSG00000104123	1
ENSMUSG00000025902	70
ENSMUSG00000104238	1
ENSMUSG00000102269	1
ENSMUSG00000096126	0
ENSMUSG00000103003	0
ENSMUSG00000104328	0
ENSMUSG00000102735	0
ENSMUSG00000098104	94
ENSMUSG00000102175	0
ENSMUSG00000088000	0
ENSMUSG00000103265	0
ENSMUSG00000103922	37
ENSMUSG00000033845	2570
ENSMUSG00000102275	2
ENSMUSG00000025903	2880
ENSMUSG00000104217	0
ENSMUSG00000033813	2977
ENSMUSG00000062588	74
ENSMUSG00000103280	20
ENSMUSG00000002459	361
ENSMUSG00000091305	0
ENSMUSG00000102653	2
ENSMUSG00000085623	1
ENSMUSG00000091665	1
ENSMUSG00000033793	5107
ENSMUSG00000104352	1
ENSMUSG00000104046	0
ENSMUSG00000102907	0
ENSMUSG00000025905	1
ENSMUSG00000103936	0
ENSMUSG00000093015	0
ENSMUSG00000103519	1
ENSMUSG00000033774	47
ENSMUSG00000103090	1
ENSMUSG00000025907	1581
ENSMUSG00000090031	181
ENSMUSG00000087247	1
ENSMUSG00000103355	2
ENSMUSG00000102706	0
ENSMUSG00000103845	14
ENSMUSG00000033740	5
ENSMUSG00000103329	0
ENSMUSG00000104385	0
ENSMUSG00000102135	1
ENSMUSG00000103282	0
ENSMUSG00000102534	7
ENSMUSG00000102213	0
ENSMUSG00000103629	1
ENSMUSG00000051285	3023
ENSMUSG00000098201	0
ENSMUSG00000103509	8
ENSMUSG00000048538	18
ENSMUSG00000103709	0
ENSMUSG00000077244	0
ENSMUSG00000102768	1
ENSMUSG00000097797	31
ENSMUSG00000103498	0
ENSMUSG00000103067	59
ENSMUSG00000102320	0
ENSMUSG00000104226	11
ENSMUSG00000103903	0
ENSMUSG00000103557	1
ENSMUSG00000025909	60
ENSMUSG00000102647	0
ENSMUSG00000086235	0
ENSMUSG00000102253	1
ENSMUSG00000093970	1
ENSMUSG00000103884	2
ENSMUSG00000084353	7
ENSMUSG00000103933	1
ENSMUSG00000076135	1
ENSMUSG00000086195	3
ENSMUSG00000104504	0
ENSMUSG00000066693	1
ENSMUSG00000102316	1
ENSMUSG00000103819	1
ENSMUSG00000102871	8
ENSMUSG00000101571	1
ENSMUSG00000104428	0
ENSMUSG00000102272	0
ENSMUSG00000065625	0
ENSMUSG00000103411	1
ENSMUSG00000061024	2387
ENSMUSG00000025911	773
ENSMUSG00000079671	193
ENSMUSG00000081441	2
ENSMUSG00000067879	15
ENSMUSG00000099827	1
ENSMUSG00000025912	21
ENSMUSG00000045210	1135
ENSMUSG00000097893	131
ENSMUSG00000025915	2042
ENSMUSG00000046334	37
ENSMUSG00000088916	0
ENSMUSG00000046101	25
ENSMUSG00000098234	129
ENSMUSG00000093178	0
ENSMUSG00000099032	57
ENSMUSG00000104025	6
ENSMUSG00000025916	21
ENSMUSG00000087199	1
ENSMUSG00000095780	0
ENSMUSG00000025917	2731
ENSMUSG00000056763	1005
ENSMUSG00000102356	4
ENSMUSG00000102638	89
ENSMUSG00000067851	751
ENSMUSG00000088153	0
ENSMUSG00000102556	47
ENSMUSG00000042501	8
ENSMUSG00000103810	3
ENSMUSG00000083422	1
ENSMUSG00000094979	0
ENSMUSG00000081417	1
ENSMUSG00000103448	2
ENSMUSG00000100212	0
ENSMUSG00000100648	0
ENSMUSG00000088585	0
ENSMUSG00000048960	41
ENSMUSG00000077318	1
ENSMUSG00000101827	0
ENSMUSG00000103494	3
ENSMUSG00000057715	292
ENSMUSG00000103825	4
ENSMUSG00000099845	0
ENSMUSG00000103561	5
ENSMUSG00000101610	1
ENSMUSG00000093864	0
ENSMUSG00000098555	0
ENSMUSG00000097628	0
ENSMUSG00000098163	0
ENSMUSG00000097171	1
ENSMUSG00000101314	1
ENSMUSG00000016918	2272
ENSMUSG00000025938	2040
ENSMUSG00000104518	0
ENSMUSG00000069620	5
ENSMUSG00000099498	2
ENSMUSG00000042414	127
ENSMUSG00000005886	1615
ENSMUSG00000103506	6
ENSMUSG00000103495	7
ENSMUSG00000099183	0
ENSMUSG00000102639	10
ENSMUSG00000104170	0
ENSMUSG00000087782	0
ENSMUSG00000103085	37
ENSMUSG00000102664	14
ENSMUSG00000101476	1
ENSMUSG00000101171	0
ENSMUSG00000025935	14964
ENSMUSG00000025937	338
ENSMUSG00000102982	9
ENSMUSG00000067813	20
ENSMUSG00000077368	0
ENSMUSG00000097711	6
ENSMUSG00000102166	217
ENSMUSG00000089358	1
ENSMUSG00000104209	3
ENSMUSG00000025932	2530
ENSMUSG00000095853	1
ENSMUSG00000102588	5
ENSMUSG00000054493	1841
ENSMUSG00000025930	5508
ENSMUSG00000103492	2
ENSMUSG00000081201	7
ENSMUSG00000082193	18
ENSMUSG00000032769	49
ENSMUSG00000088159	0
ENSMUSG00000073737	1
ENSMUSG00000092083	146
ENSMUSG00000102937	0
ENSMUSG00000104149	1
ENSMUSG00000088829	0
ENSMUSG00000077377	0
ENSMUSG00000101652	0
ENSMUSG00000100814	0
ENSMUSG00000025925	471
ENSMUSG00000104379	6
ENSMUSG00000032719	16
ENSMUSG00000088943	0
ENSMUSG00000100652	0
ENSMUSG00000067795	6
ENSMUSG00000043716	9265
ENSMUSG00000025921	2355
ENSMUSG00000104165	0
ENSMUSG00000100868	0
ENSMUSG00000025920	1277
ENSMUSG00000089982	2
ENSMUSG00000025939	2441
ENSMUSG00000102457	107
ENSMUSG00000079658	3081
ENSMUSG00000097744	15
ENSMUSG00000100959	8
ENSMUSG00000025940	3228
ENSMUSG00000025779	124
ENSMUSG00000100093	0
ENSMUSG00000091020	31
ENSMUSG00000101640	40
ENSMUSG00000104133	0
ENSMUSG00000042686	335
ENSMUSG00000100110	2
ENSMUSG00000025777	123
ENSMUSG00000099899	0
