"id"	"id_rnaseq"	"sex"	"age_wk"	"age_d"	"strain"	"genotype"	"generation"	"microscope_count_total"	"tec_prc_cells"	"tec_prc_single"	"tec_prc_living"	"tec_prc_tec"	"tec_count_tec"	"tec_prc_Ly51+UEA1-"	"tec_count_Ly51+UEA1-"	"tec_prc_Ly51-UEA1+"	"tec_count_Ly51-UEA1+"	"tec_prc_Ly51-UEA1-"	"tec_count_Ly51-UEA1-"	"TI"	"thymocytes_prc_thymocytes"	"thymocytes_prc_single"	"thymocytes_prc_living"	"thymocytes_prc_cd45"	"thymocytes_count_cd45"	"thymocytes_prc_cd4sp_of_cd45"	"thymocytes_count_cd4sp"	"thymocytes_prc_cd8sp_of_cd45"	"thymocytes_count_cd8sp"	"thymocytes_prc_dp_of_cd45"	"thymocytes_count_dp"	"thymocytes_prc_dn_of_cd45"	"thymocytes_count_dn"	"thymocytes_prc_tcrb_of_dn"	"thymocytes_count_tcrb"	"thymocytes_prc_tcrgd_of_dn"	"thymocytes_count_tcrgd"	"thymocytes_prc_cd19_of_dn"	"thymocytes_count_cd19"	"thymocytes_prc_lineage-_of_dn"	"thymocytes_count_lineage-"	"thymocytes_prc_dn1_of_lineage-"	"thymocytes_prc_dn2_of_lineage-"	"thymocytes_prc_dn3_of_lineage-"	"thymocytes_prc_dn4_of_lineage-"	"thymocytes_count_dn1"	"thymocytes_count_dn2"	"thymocytes_count_dn3"	"thymocytes_count_dn4"	"tecs"	"thymocytes"	"ctecs"	"mtecs"	"microscope_count_total_1e6"	"tecs_1e3"	"thymocytes_1e6"	"tec_count_Ly51+UEA1-_1e3"	"tec_count_Ly51-UEA1+_1e3"	"thymocytes_count_cd45_1e6"	"thymocytes_count_cd4sp_1e6"	"thymocytes_count_cd8sp_1e6"	"thymocytes_count_dp_1e6"	"thymocytes_count_tcrb_1e6"	"thymocytes_count_cd19_1e6"
"373"	"NA"	"F"	10	"NA"	"PWK"	"wt"	"F0"	52800000	100	93.9	99.4	0.00672	3311.73190656	31.6	1046.50728247296	61.7	2043.33858634752	1.88	60	15943	81.9	97.6	99.2	99.7	41740000	11	4591400	2.55	1064370	83.7	34936380	2.74	1143676	15.2	173838.752	12.2	139528.472	6.64	75940.0864	1.42	"NA"	3.55	2.37	56.5	37.6	1481770	989238	23583100	15694240	3311.73190656	41740000	1046.50728247296	2043.33858634752	52.8	3.31173190656	41.74	1.04650728247296	2.04333858634752	41.74	4.5914	1.06437	34.93638	0.173838752	0.0759400864
"374"	"NA"	"F"	10	"NA"	"PWK"	"wt"	"F0"	69480000	100	94.3	99.6	0.00935	6101.58199464	12.8	781.00249531392	84.2	5137.53203948688	1.4	90	11387	83.8	97.4	98.9	99.6	55860000	10.5	5865300	2.43	1357398	84.8	47369280	2.19	1223334	19.1	233656.794	11	134566.74	5.71	69852.3714	1.13	"NA"	5.21	2.05	49.8	42.9	2910306	1145130	27818280	23963940	6101.58199464	55860000	781.00249531392	5137.53203948688	69.48	6.10158199464	55.86	0.78100249531392	5.13753203948688	55.86	5.8653	1.357398	47.36928	0.233656794	0.0698523714
"375"	"NA"	"F"	10	"NA"	"PWK"	"wt"	"F0"	52260000	100	95.7	99.8	0.00937	4676.828831532	15.8	738.938955382056	79.8	3732.10940756254	2.22	100	11174	84.5	98.1	99.1	99.9	42890000	10.9	4675010	3.2	1372480	83.6	35856040	2.37	1016493	13.6	138243.048	10.2	103682.286	7.37	74915.5341	1.37	"NA"	2.54	3.42	66	28	1089406	1466838	28307400	12009200	4676.828831532	42890000	738.938955382056	3732.10940756254	52.26	4.676828831532	42.89	0.738938955382056	3.73210940756254	42.89	4.67501	1.37248	35.85604	0.138243048	0.0749155341
"403"	"NA"	"M"	10	"NA"	"PWK"	"wt"	"F0"	26320000	100	92.4	81.5	0.014	2774.875488	12.8	355.184062464	85.4	2369.743666752	1.16	30	9485	86.8	96.6	99.6	98.8	21720000	10.4	2258880	2.36	512592	85.2	18505440	2.07	449604	13.6	61146.144	12.1	54402.084	3.68	16545.4272	1	"NA"	2.57	2.18	58.9	36.3	558204	473496	12793080	7884360	2774.875488	21720000	355.184062464	2369.743666752	26.32	2.774875488	21.72	0.355184062464	2.369743666752	21.72	2.25888	0.512592	18.50544	0.061146144	0.0165454272
"84"	"NA"	"F"	10	"NA"	"CBA"	"wt"	"F0"	213900000	100	95.1	99.4	0.064	129406.967424	9.55	12358.365388992	88.2	114136.945267968	0.85	1100	1653	82.3	97.8	99	100	170450000	7.27	12391715	2.4	4090800	87.1	148461950	3.2	5454400	18.9	1030881.6	6.09	332172.96	1.76	95997.44	73	"NA"	15	12.2	27.1	45.7	25567500	20794900	46191950	77895650	129406.967424	170450000	12358.365388992	114136.945267968	213.9	129.406967424	170.45	12.358365388992	114.136945267968	170.45	12.391715	4.0908	148.46195	1.0308816	0.09599744
"85"	"NA"	"F"	10	"NA"	"CBA"	"wt"	"F0"	156840000	100	95.9	99.4	0.059	88209.1905576	19.5	17200.792158732	76.7	67656.4491576792	1.95	1720	1778	79.9	97.8	99.1	100	121460000	7.17	8708682	2.23	2708558	87.7	106520420	2.9	3522340	23	810138.2	5.48	193024.232	1.14	40154.676	72.1	"NA"	21.5	11	26.3	41.2	26113900	13360600	31943980	50041520	88209.1905576	121460000	17200.792158732	67656.4491576792	156.84	88.2091905576	121.46	17.200792158732	67.6564491576792	121.46	8.708682	2.708558	106.52042	0.8101382	0.040154676
"88"	"NA"	"F"	10	"NA"	"CBA"	"wt"	"F0"	214140000	100	95	99.1	0.066	133057.38798	13.7	18228.86215326	82.9	110304.57463542	1.76	2340	1609	83.3	97.1	99.2	99.9	171650000	7.21	12375965	2.61	4480065	87	149335500	3.14	5389810	21.8	1174978.58	5.24	282426.044	1.39	74918.359	73.4	"NA"	24.2	11.4	25.9	38.5	41539300	19568100	44457350	66085250	133057.38798	171650000	18228.86215326	110304.57463542	214.14	133.05738798	171.65	18.22886215326	110.30457463542	171.65	12.375965	4.480065	149.3355	1.17497858	0.074918359
"390"	"NA"	"F"	10	"NA"	"CBA"	"wt"	"F0"	162540000	100	93.4	98.9	0.032	48045.5756928	23.6	11338.7558635008	72.9	35025.2246800512	0.95	460	3383	84.6	95.9	98.1	100	129370000	7.52	9728624	2.09	2703833	87.4	113069380	3.06	3958722	23.6	934258.392	6.39	252962.3358	0.67	26523.4374	1.64	"NA"	29.2	1.65	32.6	36.5	37776040	2134605	42174620	47220050	48045.5756928	129370000	11338.7558635008	35025.2246800512	162.54	48.0455756928	129.37	11.3387558635008	35.0252246800512	129.37	9.728624	2.703833	113.06938	0.934258392	0.0265234374
"391"	"NA"	"F"	10	"NA"	"CBA"	"wt"	"F0"	178920000	100	93.5	99.1	0.033	54708.914106	22.8	12473.632416168	74.7	40867.558837182	0.71	390	3270	88	96.5	98.7	100	149960000	8.66	12986536	2.09	3134164	86.5	129715400	2.78	4168888	21.2	883804.256	8.43	351437.2584	0.58	24179.5504	1.42	"NA"	24.2	1.84	38.2	35.7	36290320	2759264	57284720	53535720	54708.914106	149960000	12473.632416168	40867.558837182	178.92	54.708914106	149.96	12.473632416168	40.867558837182	149.96	12.986536	3.134164	129.7154	0.883804256	0.0241795504
"394"	"NA"	"F"	10	"NA"	"CBA"	"wt"	"F0"	183300000	100	95.1	84.4	0.04	58849.85808	27	15889.4616816	71.5	42077.6485272	0.3	180	3115	83.7	98.5	97.6	99.7	147050000	6.21	9131805	2.23	3279215	89	130874500	2.62	3852710	24.6	947766.66	5.31	204578.901	1.25	48158.875	1.46	"NA"	25.3	3.23	33.7	37.7	37203650	4749715	49555850	55437850	58849.85808	147050000	15889.4616816	42077.6485272	183.3	58.84985808	147.05	15.8894616816	42.0776485272	147.05	9.131805	3.279215	130.8745	0.94776666	0.048158875
