age_E	age_d	age_w	ly51uea1_ratio
14.5	-5.5	-0.785714285714286	13
15.5	-4.5	-0.642857142857143	5.223
15.5	-4.5	-0.642857142857143	4.231
15.5	-4.5	-0.642857142857143	5.591
15.5	-4.5	-0.642857142857143	5.297
15.5	-4.5	-0.642857142857143	5.19
NA	0	0	6.311
NA	6	0.857142857142857	0.472
NA	6	0.857142857142857	0.857
NA	7	1	0.381
NA	10	1.42857142857143	0.376
NA	10	1.42857142857143	0.313
NA	10	1.42857142857143	0.277
NA	10	1.42857142857143	0.424
NA	14	2	0.023
NA	14	2	0.024
NA	14	2	0.007
NA	14	2	0.044
NA	14	2	0.041
NA	14	2	0.044
NA	21	3	0.047
NA	21	3	0.018
NA	21	3	0.013
NA	21	3	0.014
NA	21	3	0.014
NA	21	3	0.014
NA	28	4	0.02
NA	28	4	0.06
NA	28	4	0.083
NA	28	4	0.036
NA	28	4	0.021
NA	28	4	0.071
NA	28	4	0.021
NA	35	5	0.039
NA	42	6	0.019
NA	42	6	0.075
NA	49	7	0.076
NA	49	7	0.126
NA	98	14	0.171
NA	98	14	0.389
NA	112	16	0.169
NA	119	17	0.208
NA	147	21	0.218
NA	161	23	0.491
NA	175	25	0.242
NA	175	25	0.647
NA	217	31	1.173
NA	224	32	0.167
NA	224	32	0.22
NA	238	34	0.107
NA	259	37	0.153
NA	273	39	0.116
NA	287	41	0.554
NA	319	45.5714285714286	0.918
NA	378	54	0.808
