target	label	set	count
Aire	Cy5	A	12
Aire	Cy5	A	15
Aire	Cy5	A	16
Aire	Cy5	A	18
Aire	Cy5	A	15
Aire	Cy5	A	8
Aire	Cy5	A	22
Aire	Cy5	A	27
Aire	Cy5	A	17
Aire	Cy5	A	8
Aire	Cy5	A	17
Aire	Cy5	A	8
Aire	Cy5	A	11
Aire	Cy5	A	21
Aire	Cy5	A	18
Aire	Cy5	A	7
Aire	Cy5	A	6
Aire	Cy5	A	4
Aire	Cy5	A	15
Aire	Cy5	A	13
Aire	Cy5	A	14
Aire	Cy5	A	7
Aire	Cy5	A	9
Aire	Cy5	A	7
Aire	Cy5	A	3
Aire	Cy5	A	10
Aire	Cy5	A	13
Aire	Cy5	A	15
Aire	Cy5	A	21
Aire	Cy5	A	13
Aire	Cy5	A	4
Aire	Cy5	A	5
Aire	Cy5	A	14
Aire	Cy5	A	16
Aire	Cy5	A	11
Aire	Cy5	A	13
Aire	Cy5	A	13
Aire	Cy5	A	9
Aire	Cy5	A	13
Igfbp5	digoxigenin	A	8
Igfbp5	digoxigenin	A	27
Igfbp5	digoxigenin	A	18
Igfbp5	digoxigenin	A	34
Igfbp5	digoxigenin	A	21
Igfbp5	digoxigenin	A	9
Igfbp5	digoxigenin	A	38
Igfbp5	digoxigenin	A	35
Igfbp5	digoxigenin	A	33
Igfbp5	digoxigenin	A	8
Igfbp5	digoxigenin	A	10
Igfbp5	digoxigenin	A	10
Igfbp5	digoxigenin	A	4
Igfbp5	digoxigenin	A	20
Igfbp5	digoxigenin	A	35
Igfbp5	digoxigenin	A	28
Igfbp5	digoxigenin	A	4
Igfbp5	digoxigenin	A	7
Igfbp5	digoxigenin	A	25
Igfbp5	digoxigenin	A	26
Igfbp5	digoxigenin	A	18
Igfbp5	digoxigenin	A	16
Igfbp5	digoxigenin	A	5
Igfbp5	digoxigenin	A	1
Igfbp5	digoxigenin	A	7
Igfbp5	digoxigenin	A	12
Igfbp5	digoxigenin	A	32
Igfbp5	digoxigenin	A	22
Igfbp5	digoxigenin	A	23
Igfbp5	digoxigenin	A	20
Igfbp5	digoxigenin	A	2
Igfbp5	digoxigenin	A	5
Igfbp5	digoxigenin	A	16
Igfbp5	digoxigenin	A	25
Igfbp5	digoxigenin	A	23
Igfbp5	digoxigenin	A	22
Igfbp5	digoxigenin	A	26
Igfbp5	digoxigenin	A	10
Igfbp5	digoxigenin	A	28
Aire	Cy5	B	15
Aire	Cy5	B	14
Aire	Cy5	B	2
Aire	Cy5	B	18
Aire	Cy5	B	10
Aire	Cy5	B	13
Aire	Cy5	B	20
Aire	Cy5	B	17
Aire	Cy5	B	13
Aire	Cy5	B	15
Aire	Cy5	B	12
Aire	Cy5	B	6
Aire	Cy5	B	13
Aire	Cy5	B	15
Aire	Cy5	B	14
Aire	Cy5	B	8
Aire	Cy5	B	6
Aire	Cy5	B	10
Aire	Cy5	B	13
Aire	Cy5	B	17
Aire	Cy5	B	14
Aire	Cy5	B	11
Aire	Cy5	B	14
Aire	Cy5	B	13
Igfbp5	Cy3	B	16
Igfbp5	Cy3	B	12
Igfbp5	Cy3	B	5
Igfbp5	Cy3	B	22
Igfbp5	Cy3	B	35
Igfbp5	Cy3	B	20
Igfbp5	Cy3	B	16
Igfbp5	Cy3	B	21
Igfbp5	Cy3	B	20
Igfbp5	Cy3	B	21
Igfbp5	Cy3	B	29
Igfbp5	Cy3	B	2
Igfbp5	Cy3	B	15
Igfbp5	Cy3	B	7
Igfbp5	Cy3	B	14
Igfbp5	Cy3	B	16
Igfbp5	Cy3	B	26
Igfbp5	Cy3	B	27
Igfbp5	Cy3	B	12
Igfbp5	Cy3	B	24
Igfbp5	Cy3	B	16
Igfbp5	Cy3	B	18
Igfbp5	Cy3	B	10
Igfbp5	Cy3	B	25
