"ensembl_gene_id"	"drerio_homolog_ensembl_gene"	"drerio_homolog_orthology_confidence"	"drerio_homolog_orthology_type"	"drerio_homolog_associated_gene_name"	"external_gene_name"
"1"	"ENSMUSG00000064336"	NA	NA	NA	NA	"mt-Tf"
"2"	"ENSMUSG00000064337"	NA	NA	NA	NA	"mt-Rnr1"
"3"	"ENSMUSG00000064338"	NA	NA	NA	NA	"mt-Tv"
"4"	"ENSMUSG00000064339"	NA	NA	NA	NA	"mt-Rnr2"
"5"	"ENSMUSG00000064340"	NA	NA	NA	NA	"mt-Tl1"
"6"	"ENSMUSG00000064341"	"ENSDARG00000063895"	1	"ortholog_one2one"	"mt-nd1"	"mt-Nd1"
"7"	"ENSMUSG00000064342"	NA	NA	NA	NA	"mt-Ti"
"8"	"ENSMUSG00000064343"	NA	NA	NA	NA	"mt-Tq"
"9"	"ENSMUSG00000064344"	NA	NA	NA	NA	"mt-Tm"
"10"	"ENSMUSG00000064345"	"ENSDARG00000063899"	1	"ortholog_one2one"	"mt-nd2"	"mt-Nd2"
"11"	"ENSMUSG00000064346"	NA	NA	NA	NA	"mt-Tw"
"12"	"ENSMUSG00000064347"	NA	NA	NA	NA	"mt-Ta"
"13"	"ENSMUSG00000064348"	NA	NA	NA	NA	"mt-Tn"
"14"	"ENSMUSG00000064349"	NA	NA	NA	NA	"mt-Tc"
"15"	"ENSMUSG00000064350"	NA	NA	NA	NA	"mt-Ty"
"16"	"ENSMUSG00000064351"	"ENSDARG00000063905"	1	"ortholog_one2one"	"mt-co1"	"mt-Co1"
"17"	"ENSMUSG00000064352"	NA	NA	NA	NA	"mt-Ts1"
"18"	"ENSMUSG00000064353"	NA	NA	NA	NA	"mt-Td"
"19"	"ENSMUSG00000064354"	"ENSDARG00000063908"	1	"ortholog_one2one"	"mt-co2"	"mt-Co2"
"20"	"ENSMUSG00000064355"	NA	NA	NA	NA	"mt-Tk"
"21"	"ENSMUSG00000064356"	NA	NA	NA	NA	"mt-Atp8"
"22"	"ENSMUSG00000064357"	"ENSDARG00000063911"	1	"ortholog_one2one"	"mt-atp6"	"mt-Atp6"
"23"	"ENSMUSG00000064358"	"ENSDARG00000063912"	1	"ortholog_one2one"	"mt-co3"	"mt-Co3"
"24"	"ENSMUSG00000064359"	NA	NA	NA	NA	"mt-Tg"
"25"	"ENSMUSG00000064360"	"ENSDARG00000063914"	1	"ortholog_one2one"	"mt-nd3"	"mt-Nd3"
"26"	"ENSMUSG00000064361"	NA	NA	NA	NA	"mt-Tr"
"27"	"ENSMUSG00000065947"	NA	NA	NA	NA	"mt-Nd4l"
"28"	"ENSMUSG00000064363"	"ENSDARG00000063917"	1	"ortholog_one2one"	"mt-nd4"	"mt-Nd4"
"29"	"ENSMUSG00000064364"	NA	NA	NA	NA	"mt-Th"
"30"	"ENSMUSG00000064365"	NA	NA	NA	NA	"mt-Ts2"
"31"	"ENSMUSG00000064366"	NA	NA	NA	NA	"mt-Tl2"
"32"	"ENSMUSG00000064367"	"ENSDARG00000063921"	1	"ortholog_one2one"	"mt-nd5"	"mt-Nd5"
"33"	"ENSMUSG00000064368"	"ENSDARG00000063922"	1	"ortholog_one2one"	"mt-nd6"	"mt-Nd6"
"34"	"ENSMUSG00000064369"	NA	NA	NA	NA	"mt-Te"
"35"	"ENSMUSG00000064370"	"ENSDARG00000063924"	1	"ortholog_one2one"	"mt-cyb"	"mt-Cytb"
"36"	"ENSMUSG00000064371"	NA	NA	NA	NA	"mt-Tt"
"37"	"ENSMUSG00000064372"	NA	NA	NA	NA	"mt-Tp"
"38"	"ENSMUSG00002074970"	NA	NA	NA	NA	NA
"39"	"ENSMUSG00000094722"	"ENSDARG00000036493"	0	"ortholog_one2many"	NA	NA
"40"	"ENSMUSG00000094915"	"ENSDARG00000035066"	0	"ortholog_many2many"	"ubtf"	NA
"41"	"ENSMUSG00000094915"	"ENSDARG00000038780"	0	"ortholog_many2many"	"ubtfl"	NA
"42"	"ENSMUSG00000095041"	"ENSDARG00000052462"	0	"ortholog_one2many"	"pisd"	NA
"43"	"ENSMUSG00000094741"	"ENSDARG00000036493"	0	"ortholog_one2many"	NA	NA
"44"	"ENSMUSG00000095666"	"ENSDARG00000036493"	0	"ortholog_one2many"	NA	NA
"45"	"ENSMUSG00000095250"	NA	NA	NA	NA	NA
"46"	"ENSMUSG00000079222"	NA	NA	NA	NA	NA
"47"	"ENSMUSG00000079800"	NA	NA	NA	NA	NA
"48"	"ENSMUSG00000094836"	"ENSDARG00000036493"	0	"ortholog_one2many"	NA	NA
"49"	"ENSMUSG00000095019"	NA	NA	NA	NA	NA
