"ensembl_gene_id"	"mmusculus_homolog_ensembl_gene"	"mmusculus_homolog_associated_gene_name"	"external_gene_name"
"1"	"ENSDARG00000063344"	"ENSMUSG00000019909"	"Fam162b"	"fam162a"
"2"	"ENSDARG00000097685"	NA	NA	NA
"3"	"ENSDARG00000036008"	"ENSMUSG00000025468"	"Caly"	"caly"
"4"	"ENSDARG00000069301"	"ENSMUSG00000036975"	"Tmem177"	"tmem177"
"5"	"ENSDARG00000104901"	"ENSMUSG00000041084"	"Ostc"	"ostc"
"6"	"ENSDARG00000031836"	"ENSMUSG00000048832"	"Vps37c"	"vps37c"
"7"	"ENSDARG00000103391"	"ENSMUSG00000043463"	"Rab9b"	"RAB9B"
"8"	"ENSDARG00000030463"	"ENSMUSG00000014846"	"Tppp3"	"tppp3"
"9"	"ENSDARG00000103031"	NA	NA	NA
"10"	"ENSDARG00000070447"	"ENSMUSG00000048833"	"Slc39a9"	"slc39a9"
"11"	"ENSDARG00000080018"	NA	NA	"KIF16B"
"12"	"ENSDARG00000036109"	"ENSMUSG00000064068"	"Mtx1"	"mtx1b"
"13"	"ENSDARG00000029612"	"ENSMUSG00000031148"	"Gpkow"	"gpkow"
"14"	"ENSDARG00000075759"	"ENSMUSG00000021838"	"Samd4"	"SAMD4A"
"15"	"ENSDARG00000068484"	NA	NA	NA
"16"	"ENSDARG00000057635"	"ENSMUSG00000039715"	"Dync2i2"	"dync2i2"
"17"	"ENSDARG00000032737"	"ENSMUSG00000001986"	"Gria3"	"gria3a"
"18"	"ENSDARG00000053517"	"ENSMUSG00000051166"	"Eml5"	"EML5"
"19"	"ENSDARG00000111826"	NA	NA	"zgc:174354"
"20"	"ENSDARG00000098335"	NA	NA	NA
"21"	"ENSDARG00000092715"	NA	NA	NA
"22"	"ENSDARG00000095834"	NA	NA	NA
"23"	"ENSDARG00000015793"	"ENSMUSG00000027230"	"Creb3l1"	"creb3l1"
"24"	"ENSDARG00000044573"	"ENSMUSG00000006699"	"Cdc42"	"cdc42"
"25"	"ENSDARG00000025206"	"ENSMUSG00000026452"	"Syt2"	"SYT2"
"26"	"ENSDARG00000042189"	NA	NA	"tspan33b"
"27"	"ENSDARG00000076270"	"ENSMUSG00000014852"	"Adamts13"	NA
"28"	"ENSDARG00000045415"	NA	NA	"gnal"
"29"	"ENSDARG00000100099"	NA	NA	NA
"30"	"ENSDARG00000087916"	"ENSMUSG00000084845"	"Tmem240"	"TMEM240"
"31"	"ENSDARG00000023058"	"ENSMUSG00000052135"	"Foxo6"	"foxo3a"
"32"	"ENSDARG00000100738"	"ENSMUSG00000054263"	"Lifr"	NA
"33"	"ENSDARG00000097888"	NA	NA	NA
"34"	"ENSDARG00000067711"	"ENSMUSG00000022439"	"Parvg"	"parvg"
"35"	"ENSDARG00000091834"	NA	NA	NA
"36"	"ENSDARG00000068468"	"ENSMUSG00000052273"	"Dnah3"	"DNAH3"
"37"	"ENSDARG00000101806"	NA	NA	"or30bu1"
"38"	"ENSDARG00000105445"	NA	NA	NA
"39"	"ENSDARG00000078805"	"ENSMUSG00000049562"	"Ap5b1"	"ap5b1"
"40"	"ENSDARG00000058893"	"ENSMUSG00000026162"	"Nhej1"	"nhej1"
"41"	"ENSDARG00000088881"	NA	NA	NA
"42"	"ENSDARG00000095893"	NA	NA	NA
"43"	"ENSDARG00000062376"	"ENSMUSG00000058019"	"Ces5a"	"nlgn3b"
"44"	"ENSDARG00000062376"	"ENSMUSG00000056973"	"Ces1d"	"nlgn3b"
"45"	"ENSDARG00000062376"	"ENSMUSG00000078964"	"Ces1b"	"nlgn3b"
"46"	"ENSDARG00000062376"	"ENSMUSG00000057400"	"Ces1c"	"nlgn3b"
"47"	"ENSDARG00000062376"	"ENSMUSG00000057074"	"Ces1g"	"nlgn3b"
"48"	"ENSDARG00000062376"	"ENSMUSG00000074156"	"Ces1h"	"nlgn3b"
"49"	"ENSDARG00000062376"	"ENSMUSG00000071047"	"Ces1a"	"nlgn3b"
"50"	"ENSDARG00000062376"	"ENSMUSG00000031725"	"Ces1f"	"nlgn3b"
"51"	"ENSDARG00000062376"	"ENSMUSG00000061959"	"Ces1e"	"nlgn3b"
"52"	"ENSDARG00000062376"	"ENSMUSG00000055730"	"Ces2a"	"nlgn3b"
"53"	"ENSDARG00000062376"	"ENSMUSG00000062826"	"Ces2f"	"nlgn3b"
"54"	"ENSDARG00000062376"	"ENSMUSG00000031886"	"Ces2e"	"nlgn3b"
"55"	"ENSDARG00000062376"	"ENSMUSG00000050097"	"Ces2b"	"nlgn3b"
"56"	"ENSDARG00000062376"	"ENSMUSG00000061825"	"Ces2c"	"nlgn3b"
"57"	"ENSDARG00000062376"	"ENSMUSG00000031877"	"Ces2g"	"nlgn3b"
"58"	"ENSDARG00000062376"	"ENSMUSG00000091813"	"Ces2h"	"nlgn3b"
"59"	"ENSDARG00000062376"	"ENSMUSG00000060560"	"Ces4a"	"nlgn3b"
"60"	"ENSDARG00000039490"	"ENSMUSG00000017781"	"Pitpna"	"pitpnaa"
"61"	"ENSDARG00000020986"	"ENSMUSG00000038888"	"Ctu1"	"ctu1"
"62"	"ENSDARG00000098626"	NA	NA	"nitr12"
"63"	"ENSDARG00000089187"	NA	NA	"wfdc2"
"64"	"ENSDARG00000101165"	NA	NA	NA
"65"	"ENSDARG00000003175"	"ENSMUSG00000010110"	"Stx5a"	"stx5al"
"66"	"ENSDARG00000074846"	NA	NA	NA
"67"	"ENSDARG00000026759"	NA	NA	NA
"68"	"ENSDARG00000098213"	NA	NA	NA
"69"	"ENSDARG00000033099"	"ENSMUSG00000050382"	"Kif7"	"kif7"
"70"	"ENSDARG00000096970"	NA	NA	NA
